Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create A New Booking,2000,225,196,247,286,643,144,6164,"0,000%","2,22284","2,08","1,03"
1741144256220,200,Create A New Booking,200,OK,Create Booking 1-142,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,200,0,135
1741144256520,204,Create A New Booking,200,OK,Create Booking 1-143,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,204,0,146
1741144256819,168,Create A New Booking,200,OK,Create Booking 1-144,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,168,0,125
1741144257120,188,Create A New Booking,200,OK,Create Booking 1-145,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,188,0,149
1741144257419,190,Create A New Booking,200,OK,Create Booking 1-146,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,190,0,128
1741144257720,167,Create A New Booking,200,OK,Create Booking 1-147,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,167,0,127
1741144258021,221,Create A New Booking,200,OK,Create Booking 1-148,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,221,0,164
1741144258320,292,Create A New Booking,200,OK,Create Booking 1-149,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,292,0,230
1741144258620,216,Create A New Booking,200,OK,Create Booking 1-150,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,216,0,157
1741144258919,172,Create A New Booking,200,OK,Create Booking 1-151,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,172,0,126
1741144259219,172,Create A New Booking,200,OK,Create Booking 1-152,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,172,0,129
1741144259519,173,Create A New Booking,200,OK,Create Booking 1-153,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,173,0,131
1741144259820,188,Create A New Booking,200,OK,Create Booking 1-154,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,188,0,145
1741144260119,242,Create A New Booking,200,OK,Create Booking 1-155,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,242,0,193
1741144260420,260,Create A New Booking,200,OK,Create Booking 1-156,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,260,0,201
1741144260720,196,Create A New Booking,200,OK,Create Booking 1-157,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,196,0,143
1741144261021,197,Create A New Booking,200,OK,Create Booking 1-158,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,197,0,131
1741144261319,168,Create A New Booking,200,OK,Create Booking 1-159,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,168,0,121
1741144261618,167,Create A New Booking,200,OK,Create Booking 1-160,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,167,0,129
1741144261919,194,Create A New Booking,200,OK,Create Booking 1-161,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,194,0,143
1741144262220,175,Create A New Booking,200,OK,Create Booking 1-162,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,175,0,134
1741144262521,181,Create A New Booking,200,OK,Create Booking 1-163,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,181,0,143
